timestamp,event,client,seq_num,details
1780647002.5121982,ACK_SENT,127.0.0.1:58346,28,ACK
1780647002.512624,RECV,127.0.0.1:58346,29,DATA
1780647002.5130525,WRITE,127.0.0.1:58346,29,512 bytes
1780647002.513608,ACK_SENT,127.0.0.1:58346,29,ACK
1780647002.514016,RECV,127.0.0.1:58346,30,DATA
1780647002.5144541,WRITE,127.0.0.1:58346,30,512 bytes
1780647002.5148025,ACK_SENT,127.0.0.1:58346,30,ACK
1780647002.5153298,RECV,127.0.0.1:58346,31,DATA
1780647002.5157578,WRITE,127.0.0.1:58346,31,512 bytes
1780647002.5159395,ACK_SENT,127.0.0.1:58346,31,ACK
1780647002.5162158,RECV,127.0.0.1:58346,32,DATA
1780647002.5165799,WRITE,127.0.0.1:58346,32,512 bytes
1780647002.5167549,ACK_SENT,127.0.0.1:58346,32,ACK
1780647002.5169902,RECV,127.0.0.1:58346,33,DATA
1780647002.5181644,WRITE,127.0.0.1:58346,33,512 bytes
1780647002.5195367,ACK_SENT,127.0.0.1:58346,33,ACK
1780647002.520504,RECV,127.0.0.1:58346,34,DATA
1780647002.521457,WRITE,127.0.0.1:58346,34,512 bytes
1780647002.521792,ACK_SENT,127.0.0.1:58346,34,ACK
1780647002.5223408,RECV,127.0.0.1:58346,35,DATA
1780647002.522773,WRITE,127.0.0.1:58346,35,512 bytes
1780647002.5229912,ACK_SENT,127.0.0.1:58346,35,ACK
1780647002.5234258,RECV,127.0.0.1:58346,36,DATA
1780647002.5238588,WRITE,127.0.0.1:58346,36,512 bytes
1780647002.5240402,ACK_SENT,127.0.0.1:58346,36,ACK
1780647002.5243275,RECV,127.0.0.1:58346,37,DATA
1780647002.5247626,WRITE,127.0.0.1:58346,37,512 bytes
1780647002.5249984,ACK_SENT,127.0.0.1:58346,37,ACK
1780647002.52555,RECV,127.0.0.1:58346,38,DATA
1780647002.5261765,WRITE,127.0.0.1:58346,38,512 bytes
1780647002.5264106,ACK_SENT,127.0.0.1:58346,38,ACK
1780647002.5267851,RECV,127.0.0.1:58346,39,DATA
1780647002.5272465,WRITE,127.0.0.1:58346,39,512 bytes
1780647002.5274725,ACK_SENT,127.0.0.1:58346,39,ACK
1780647002.5277665,RECV,127.0.0.1:58346,40,DATA
1780647002.5283272,WRITE,127.0.0.1:58346,40,512 bytes
1780647002.528563,ACK_SENT,127.0.0.1:58346,40,ACK
1780647002.5288553,RECV,127.0.0.1:58346,41,DATA
1780647002.5293748,WRITE,127.0.0.1:58346,41,512 bytes
1780647002.529569,ACK_SENT,127.0.0.1:58346,41,ACK
1780647002.5299006,RECV,127.0.0.1:58346,42,DATA
1780647002.5303888,WRITE,127.0.0.1:58346,42,512 bytes
1780647002.5309298,ACK_SENT,127.0.0.1:58346,42,ACK
1780647002.531313,RECV,127.0.0.1:58346,43,DATA
1780647002.531872,WRITE,127.0.0.1:58346,43,512 bytes
1780647002.5321362,ACK_SENT,127.0.0.1:58346,43,ACK
1780647002.5325842,RECV,127.0.0.1:58346,44,DATA
1780647002.5329728,WRITE,127.0.0.1:58346,44,512 bytes
1780647002.5331638,ACK_SENT,127.0.0.1:58346,44,ACK
1780647002.533446,RECV,127.0.0.1:58346,45,DATA
1780647002.5338395,WRITE,127.0.0.1:58346,45,512 bytes
1780647002.534774,ACK_SENT,127.0.0.1:58346,45,ACK
1780647002.5353727,RECV,127.0.0.1:58346,46,DATA
1780647002.5367124,WRITE,127.0.0.1:58346,46,512 bytes
1780647002.53786,ACK_SENT,127.0.0.1:58346,46,ACK
1780647002.538382,RECV,127.0.0.1:58346,47,DATA
1780647002.5392287,WRITE,127.0.0.1:58346,47,512 bytes
1780647002.5395176,ACK_SENT,127.0.0.1:58346,47,ACK
1780647002.53992,RECV,127.0.0.1:58346,48,DATA
1780647002.540428,WRITE,127.0.0.1:58346,48,512 bytes
1780647002.540639,ACK_SENT,127.0.0.1:58346,48,ACK
1780647002.5409482,RECV,127.0.0.1:58346,49,DATA
1780647002.5414307,WRITE,127.0.0.1:58346,49,512 bytes
1780647002.5416193,ACK_SENT,127.0.0.1:58346,49,ACK
1780647002.5419006,RECV,127.0.0.1:58346,50,DATA
1780647002.5422544,WRITE,127.0.0.1:58346,50,512 bytes
1780647002.5424142,ACK_SENT,127.0.0.1:58346,50,ACK
1780647002.5426795,RECV,127.0.0.1:58346,51,DATA
1780647002.5432618,WRITE,127.0.0.1:58346,51,512 bytes
1780647002.5437288,ACK_SENT,127.0.0.1:58346,51,ACK
1780647002.5442085,RECV,127.0.0.1:58346,52,DATA
1780647002.5448065,WRITE,127.0.0.1:58346,52,512 bytes
1780647002.5453582,ACK_SENT,127.0.0.1:58346,52,ACK
1780647002.5458963,RECV,127.0.0.1:58346,53,DATA
1780647002.5463383,WRITE,127.0.0.1:58346,53,512 bytes
1780647002.5465562,ACK_SENT,127.0.0.1:58346,53,ACK
1780647002.5469172,RECV,127.0.0.1:58346,54,DATA
1780647002.5473876,WRITE,127.0.0.1:58346,54,512 bytes
1780647002.5475569,ACK_SENT,127.0.0.1:58346,54,ACK
1780647002.5478923,RECV,127.0.0.1:58346,55,DATA
1780647002.5482385,WRITE,127.0.0.1:58346,55,512 bytes
1780647002.5483997,ACK_SENT,127.0.0.1:58346,55,ACK
1780647002.5488276,RECV,127.0.0.1:58346,56,DATA
1780647002.5494018,WRITE,127.0.0.1:58346,56,512 bytes
1780647002.5496364,ACK_SENT,127.0.0.1:58346,56,ACK
1780647002.5502067,RECV,127.0.0.1:58346,57,DATA
1780647002.5511353,WRITE,127.0.0.1:58346,57,512 bytes
1780647002.552053,ACK_SENT,127.0.0.1:58346,57,ACK
1780647002.553686,RECV,127.0.0.1:58346,58,DATA
1780647002.5547268,WRITE,127.0.0.1:58346,58,512 bytes
1780647002.5550861,ACK_SENT,127.0.0.1:58346,58,ACK
1780647002.5557652,RECV,127.0.0.1:58346,59,DATA
1780647002.5563688,WRITE,127.0.0.1:58346,59,512 bytes
1780647002.5571241,ACK_SENT,127.0.0.1:58346,59,ACK
1780647002.5577734,RECV,127.0.0.1:58346,60,DATA
1780647002.5581686,WRITE,127.0.0.1:58346,60,512 bytes
1780647002.558379,ACK_SENT,127.0.0.1:58346,60,ACK
1780647002.5588286,RECV,127.0.0.1:58346,61,DATA
1780647002.5592008,WRITE,127.0.0.1:58346,61,512 bytes
1780647002.5593762,ACK_SENT,127.0.0.1:58346,61,ACK
1780647002.5598154,RECV,127.0.0.1:58346,62,DATA
1780647002.5601149,WRITE,127.0.0.1:58346,62,512 bytes
1780647002.5602653,ACK_SENT,127.0.0.1:58346,62,ACK
1780647002.5607123,RECV,127.0.0.1:58346,63,DATA
1780647002.5612404,WRITE,127.0.0.1:58346,63,512 bytes
1780647002.56158,ACK_SENT,127.0.0.1:58346,63,ACK
1780647002.5621667,RECV,127.0.0.1:58346,64,DATA
1780647002.5626895,WRITE,127.0.0.1:58346,64,512 bytes
1780647002.5629404,ACK_SENT,127.0.0.1:58346,64,ACK
1780647002.5637693,RECV,127.0.0.1:58346,65,DATA
1780647002.564378,WRITE,127.0.0.1:58346,65,512 bytes
1780647002.564644,ACK_SENT,127.0.0.1:58346,65,ACK
1780647002.565006,RECV,127.0.0.1:58346,66,DATA
1780647002.5654888,WRITE,127.0.0.1:58346,66,512 bytes
1780647002.565794,ACK_SENT,127.0.0.1:58346,66,ACK
1780647002.5661314,RECV,127.0.0.1:58346,67,DATA
1780647002.5666673,WRITE,127.0.0.1:58346,67,512 bytes
1780647002.5675156,ACK_SENT,127.0.0.1:58346,67,ACK
1780647002.5694673,RECV,127.0.0.1:58346,68,DATA
1780647002.5704594,WRITE,127.0.0.1:58346,68,512 bytes
1780647002.571134,ACK_SENT,127.0.0.1:58346,68,ACK
1780647002.57176,RECV,127.0.0.1:58346,69,DATA
1780647002.57226,WRITE,127.0.0.1:58346,69,512 bytes
1780647002.572719,ACK_SENT,127.0.0.1:58346,69,ACK
1780647002.5731058,RECV,127.0.0.1:58346,70,DATA
1780647002.5735521,WRITE,127.0.0.1:58346,70,512 bytes
1780647002.5737891,ACK_SENT,127.0.0.1:58346,70,ACK
1780647002.574101,RECV,127.0.0.1:58346,71,DATA
1780647002.5744855,WRITE,127.0.0.1:58346,71,512 bytes
1780647002.5746677,ACK_SENT,127.0.0.1:58346,71,ACK
1780647002.5750113,RECV,127.0.0.1:58346,72,DATA
1780647002.5754776,WRITE,127.0.0.1:58346,72,512 bytes
1780647002.5756695,ACK_SENT,127.0.0.1:58346,72,ACK
1780647002.5759723,RECV,127.0.0.1:58346,73,DATA
1780647002.576409,WRITE,127.0.0.1:58346,73,512 bytes
1780647002.5765781,ACK_SENT,127.0.0.1:58346,73,ACK
1780647002.5769432,RECV,127.0.0.1:58346,74,DATA
1780647002.5775309,WRITE,127.0.0.1:58346,74,512 bytes
1780647002.5778232,ACK_SENT,127.0.0.1:58346,74,ACK
1780647002.5783253,RECV,127.0.0.1:58346,75,DATA
1780647002.5789547,WRITE,127.0.0.1:58346,75,512 bytes
1780647002.5792074,ACK_SENT,127.0.0.1:58346,75,ACK
1780647002.579728,RECV,127.0.0.1:58346,76,DATA
1780647002.5800698,WRITE,127.0.0.1:58346,76,512 bytes
1780647002.5802906,ACK_SENT,127.0.0.1:58346,76,ACK
1780647002.5807357,RECV,127.0.0.1:58346,77,DATA
1780647002.581109,WRITE,127.0.0.1:58346,77,512 bytes
1780647002.5813417,ACK_SENT,127.0.0.1:58346,77,ACK
1780647002.5818496,RECV,127.0.0.1:58346,78,DATA
1780647002.5821834,WRITE,127.0.0.1:58346,78,512 bytes
1780647002.5825078,ACK_SENT,127.0.0.1:58346,78,ACK
1780647002.5831227,RECV,127.0.0.1:58346,79,DATA
1780647002.5839033,WRITE,127.0.0.1:58346,79,512 bytes
1780647002.5855052,ACK_SENT,127.0.0.1:58346,79,ACK
1780647002.5872052,RECV,127.0.0.1:58346,80,DATA
1780647002.5880206,WRITE,127.0.0.1:58346,80,512 bytes
1780647002.5886428,ACK_SENT,127.0.0.1:58346,80,ACK
1780647002.589254,RECV,127.0.0.1:58346,81,DATA
1780647002.589981,WRITE,127.0.0.1:58346,81,512 bytes
1780647002.590407,ACK_SENT,127.0.0.1:58346,81,ACK
1780647002.591011,RECV,127.0.0.1:58346,82,DATA
1780647002.591402,WRITE,127.0.0.1:58346,82,512 bytes
1780647002.5917342,ACK_SENT,127.0.0.1:58346,82,ACK
1780647002.5923288,RECV,127.0.0.1:58346,83,DATA
1780647002.592679,WRITE,127.0.0.1:58346,83,512 bytes
1780647002.5930789,ACK_SENT,127.0.0.1:58346,83,ACK
1780647002.5937333,RECV,127.0.0.1:58346,84,DATA
1780647002.594096,WRITE,127.0.0.1:58346,84,512 bytes
1780647002.5944426,ACK_SENT,127.0.0.1:58346,84,ACK
1780647002.5950553,RECV,127.0.0.1:58346,85,DATA
1780647002.5957155,WRITE,127.0.0.1:58346,85,512 bytes
1780647002.5961483,ACK_SENT,127.0.0.1:58346,85,ACK
1780647002.5966823,RECV,127.0.0.1:58346,86,DATA
1780647002.5971198,WRITE,127.0.0.1:58346,86,512 bytes
1780647002.597517,ACK_SENT,127.0.0.1:58346,86,ACK
1780647002.5980427,RECV,127.0.0.1:58346,87,DATA
1780647002.598412,WRITE,127.0.0.1:58346,87,512 bytes
1780647002.598715,ACK_SENT,127.0.0.1:58346,87,ACK
1780647002.599093,RECV,127.0.0.1:58346,88,DATA
1780647002.5996137,WRITE,127.0.0.1:58346,88,512 bytes
1780647002.6000078,ACK_SENT,127.0.0.1:58346,88,ACK
1780647002.6004102,RECV,127.0.0.1:58346,89,DATA
1780647002.601142,WRITE,127.0.0.1:58346,89,512 bytes
1780647002.6021245,ACK_SENT,127.0.0.1:58346,89,ACK
1780647002.6029835,RECV,127.0.0.1:58346,90,DATA
1780647002.6038532,WRITE,127.0.0.1:58346,90,512 bytes
1780647002.6043077,ACK_SENT,127.0.0.1:58346,90,ACK
1780647002.6047401,RECV,127.0.0.1:58346,91,DATA
1780647002.6051369,WRITE,127.0.0.1:58346,91,512 bytes
1780647002.6054952,ACK_SENT,127.0.0.1:58346,91,ACK
1780647002.605852,RECV,127.0.0.1:58346,92,DATA
1780647002.6063106,WRITE,127.0.0.1:58346,92,512 bytes
1780647002.6067383,ACK_SENT,127.0.0.1:58346,92,ACK
1780647002.6072,RECV,127.0.0.1:58346,93,DATA
1780647002.6075513,WRITE,127.0.0.1:58346,93,512 bytes
1780647002.6079223,ACK_SENT,127.0.0.1:58346,93,ACK
1780647002.6082416,RECV,127.0.0.1:58346,94,DATA
1780647002.608609,WRITE,127.0.0.1:58346,94,512 bytes
1780647002.6089723,ACK_SENT,127.0.0.1:58346,94,ACK
1780647002.6092665,RECV,127.0.0.1:58346,95,DATA
1780647002.6097744,WRITE,127.0.0.1:58346,95,512 bytes
1780647002.6101997,ACK_SENT,127.0.0.1:58346,95,ACK
1780647002.6105704,RECV,127.0.0.1:58346,96,DATA
1780647002.6110134,WRITE,127.0.0.1:58346,96,512 bytes
1780647002.6114209,ACK_SENT,127.0.0.1:58346,96,ACK
1780647002.6118555,RECV,127.0.0.1:58346,97,DATA
1780647002.6123652,WRITE,127.0.0.1:58346,97,512 bytes
1780647002.612725,ACK_SENT,127.0.0.1:58346,97,ACK
1780647002.6131146,RECV,127.0.0.1:58346,98,DATA
1780647002.613508,WRITE,127.0.0.1:58346,98,512 bytes
1780647002.6139605,ACK_SENT,127.0.0.1:58346,98,ACK
1780647002.61459,RECV,127.0.0.1:58346,99,DATA
1780647002.6151001,WRITE,127.0.0.1:58346,99,512 bytes
1780647002.6157537,ACK_SENT,127.0.0.1:58346,99,ACK
1780647002.6161985,RECV,127.0.0.1:58346,100,DATA
1780647002.6167917,WRITE,127.0.0.1:58346,100,512 bytes
1780647002.6173105,ACK_SENT,127.0.0.1:58346,100,ACK
1780647002.6182697,RECV,127.0.0.1:58346,101,DATA
1780647002.6194232,WRITE,127.0.0.1:58346,101,512 bytes
1780647002.6209521,ACK_SENT,127.0.0.1:58346,101,ACK
