timestamp,event,seq_num,details
1780652080.951616,SEND,53,"DATA, attempt=1"
1780652080.9524903,ACK_RECEIVED,53,ACK
1780652080.953724,SEND,54,"DATA, attempt=1"
1780652080.9557202,ACK_RECEIVED,54,ACK
1780652080.9561276,SEND,55,"DATA, attempt=1"
1780652080.9573991,ACK_RECEIVED,55,ACK
1780652080.957712,SEND,56,"DATA, attempt=1"
1780652080.9583502,ACK_RECEIVED,56,ACK
1780652080.9586859,SEND,57,"DATA, attempt=1"
1780652080.9597015,ACK_RECEIVED,57,ACK
1780652080.960198,SEND,58,"DATA, attempt=1"
1780652080.9609346,ACK_RECEIVED,58,ACK
1780652080.9611723,SEND,59,"DATA, attempt=1"
1780652080.9618134,ACK_RECEIVED,59,ACK
1780652080.962042,SEND,60,"DATA, attempt=1"
1780652080.962927,ACK_RECEIVED,60,ACK
1780652080.9631596,SEND,61,"DATA, attempt=1"
1780652080.9638493,ACK_RECEIVED,61,ACK
1780652080.9640746,SEND,62,"DATA, attempt=1"
1780652080.9646618,ACK_RECEIVED,62,ACK
1780652080.9649456,SEND,63,"DATA, attempt=1"
1780652080.9656537,ACK_RECEIVED,63,ACK
1780652080.9658756,SEND,64,"DATA, attempt=1"
1780652080.9664617,ACK_RECEIVED,64,ACK
1780652080.9666507,SEND,65,"DATA, attempt=1"
1780652080.967293,ACK_RECEIVED,65,ACK
1780652080.967477,SEND,66,"DATA, attempt=1"
1780652080.9685934,ACK_RECEIVED,66,ACK
1780652080.9688792,SEND,67,"DATA, attempt=1"
1780652080.97097,ACK_RECEIVED,67,ACK
1780652080.9712646,SEND,68,"DATA, attempt=1"
1780652080.9727209,ACK_RECEIVED,68,ACK
1780652080.973027,SEND,69,"DATA, attempt=1"
1780652080.9746318,ACK_RECEIVED,69,ACK
1780652080.974887,SEND,70,"DATA, attempt=1"
1780652080.9755716,ACK_RECEIVED,70,ACK
1780652080.9759233,SEND,71,"DATA, attempt=1"
1780652080.9766495,ACK_RECEIVED,71,ACK
1780652080.9769301,SEND,72,"DATA, attempt=1"
1780652080.9775925,ACK_RECEIVED,72,ACK
1780652080.9778023,SEND,73,"DATA, attempt=1"
1780652080.9784117,ACK_RECEIVED,73,ACK
1780652080.9786232,SEND,74,"DATA, attempt=1"
1780652080.9791763,ACK_RECEIVED,74,ACK
1780652080.9793856,SEND,75,"DATA, attempt=1"
1780652080.9806437,ACK_RECEIVED,75,ACK
1780652080.980923,SEND,76,"DATA, attempt=1"
1780652080.9819803,ACK_RECEIVED,76,ACK
1780652080.9822583,SEND,77,"DATA, attempt=1"
1780652080.983156,ACK_RECEIVED,77,ACK
1780652080.9833858,SEND,78,"DATA, attempt=1"
1780652080.9840622,ACK_RECEIVED,78,ACK
1780652080.9842596,SEND,79,"DATA, attempt=1"
1780652080.984837,ACK_RECEIVED,79,ACK
1780652080.985025,SEND,80,"DATA, attempt=1"
1780652080.985505,ACK_RECEIVED,80,ACK
1780652080.9862282,SEND,81,"DATA, attempt=1"
1780652080.9890597,ACK_RECEIVED,81,ACK
1780652080.9893055,SEND,82,"DATA, attempt=1"
1780652080.9900312,ACK_RECEIVED,82,ACK
1780652080.990303,SEND,83,"DATA, attempt=1"
1780652080.99086,ACK_RECEIVED,83,ACK
1780652080.9911094,SEND,84,"DATA, attempt=1"
1780652080.9917128,ACK_RECEIVED,84,ACK
1780652080.9918928,SEND,85,"DATA, attempt=1"
1780652080.9924147,ACK_RECEIVED,85,ACK
1780652080.9925928,SEND,86,"DATA, attempt=1"
1780652080.9933126,ACK_RECEIVED,86,ACK
1780652080.9935315,SEND,87,"DATA, attempt=1"
1780652080.9949238,ACK_RECEIVED,87,ACK
1780652080.9951854,SEND,88,"DATA, attempt=1"
1780652080.9959893,ACK_RECEIVED,88,ACK
1780652080.996202,SEND,89,"DATA, attempt=1"
1780652080.996791,ACK_RECEIVED,89,ACK
1780652080.9969862,SEND,90,"DATA, attempt=1"
1780652080.9975429,ACK_RECEIVED,90,ACK
1780652080.9977498,SEND,91,"DATA, attempt=1"
1780652080.9984412,ACK_RECEIVED,91,ACK
1780652080.9986615,SEND,92,"DATA, attempt=1"
1780652080.999298,ACK_RECEIVED,92,ACK
1780652080.9995146,SEND,93,"DATA, attempt=1"
1780652081.0005922,ACK_RECEIVED,93,ACK
1780652081.000809,SEND,94,"DATA, attempt=1"
1780652081.0014625,ACK_RECEIVED,94,ACK
1780652081.0016513,SEND,95,"DATA, attempt=1"
1780652081.0021756,ACK_RECEIVED,95,ACK
1780652081.0026438,SEND,96,"DATA, attempt=1"
1780652081.0055296,ACK_RECEIVED,96,ACK
1780652081.0058186,SEND,97,"DATA, attempt=1"
1780652081.0072076,ACK_RECEIVED,97,ACK
1780652081.007484,SEND,98,"DATA, attempt=1"
1780652081.0081055,ACK_RECEIVED,98,ACK
1780652081.0083032,SEND,99,"DATA, attempt=1"
1780652081.0088024,ACK_RECEIVED,99,ACK
1780652081.0090299,SEND,100,"DATA, attempt=1"
1780652081.0097754,ACK_RECEIVED,100,ACK
1780652081.0100956,SEND,101,"DATA, attempt=1"
1780652081.0107388,ACK_RECEIVED,101,ACK
1780652081.0109284,SEND,102,"DATA, attempt=1"
1780652081.0114737,ACK_RECEIVED,102,ACK
1780652081.0116544,SEND,103,"DATA, attempt=1"
1780652081.0127375,ACK_RECEIVED,103,ACK
1780652081.0129757,SEND,104,"DATA, attempt=1"
1780652081.0136216,ACK_RECEIVED,104,ACK
1780652081.0138354,SEND,105,"DATA, attempt=1"
1780652081.0145571,ACK_RECEIVED,105,ACK
1780652081.0148294,SEND,106,"DATA, attempt=1"
1780652081.0154228,ACK_RECEIVED,106,ACK
1780652081.0156283,SEND,107,"DATA, attempt=1"
1780652081.016321,ACK_RECEIVED,107,ACK
1780652081.016514,SEND,108,"DATA, attempt=1"
1780652081.017121,ACK_RECEIVED,108,ACK
1780652081.0173485,SEND,109,"DATA, attempt=1"
1780652081.0182385,ACK_RECEIVED,109,ACK
1780652081.0185006,SEND,110,"DATA, attempt=1"
1780652081.019548,ACK_RECEIVED,110,ACK
1780652081.0201652,SEND,111,"DATA, attempt=1"
